fighter,Move,Damage,Stun,Startup,On Guard,Comments
Benimaru,cl.A,25,3,5,3,
Benimaru,cr.A,25,3,6,3,
Benimaru,st.A,25,3,5,3,
Benimaru,j.A,45,3,5,-,
Benimaru,h.A,40,3,5,-,
Benimaru,cl.B,30,3,6,-1,
Benimaru,cr.B,30,3,4,1,
Benimaru,st.B,30,3,6,-1,Good fast poke
Benimaru,j.B,45,3,5,-,
Benimaru,h.A,40,3,5,-,
Benimaru,cl.C,70,7,5,-4,
Benimaru,cr.C,70,7,7,-4,
Benimaru,st.C,80,7,6,-5,
Benimaru,j.C,72,7,6,-,
Benimaru,h.C,70,7,6,-,
Benimaru,cl.D,80,7,5,-3,
Benimaru,cr.D,80,7,6,-8,
Benimaru,st.D,80,7,12,-2,Good range, avoids lows
Benimaru,j.C,70,7,7,-,
Benimaru,h.C,68,7,7,-,
Benimaru,st.CD,75,10,12,3,
Benimaru,j.CD,90,8,9,-,
Benimaru,h.CD,80,8,8,-,
Benimaru,Jackknife,65,6,21,-6,
Benimaru,Flying Drill,25,4,16,-,+1~4 on guard
Benimaru,Catch and Shoot,100,0,1,-,Follow up possible in corner
Benimaru,Flying Knee Drop,125,0,1,-,Hard knockdown
Benimaru,GCCD,4,0,13,-15,
Benimaru,A Raijin ken,35,2,19,-3,
Benimaru,C Raijin ken,35,2,14,-7,
Benimaru,Air Raijin ken,35,1,13,-,Guard at lowest point in air +6
Benimaru,Iaido Kick,45,10,6,5,-15,D Iaido Kick has startup of 5
Benimaru,Iaido Kick Follow-up 1,40,4,-,-,
Benimaru,Iaido Kick Follow-up 2,50,8,-,-37,
Benimaru,B Super Inazuma Kick,60,8,4,-30,Close
Benimaru,D Super Inazuma Kick,100,8,6,-41,Close
Benimaru,Benimaru Collider,13,0,1,-,22 frames on entire motion for whiff
Benimaru,Benimaru Lancer,70,6,22,0,
Benimaru,EX Raijin ken,110,0,14,-,Guard on lowest point +45
Benimaru,EX Air Raijin ken,50,0,14,-,
Benimaru,EX Iaido Kick,60,0,3,-7,Can link from cr.B
Benimaru,EX Iaido Kick Follow-up 1,40,0,14,-,
Benimaru,EX Iaido Kick Follow-up 2,40,0,-,-37,
Benimaru,EX Super Inazuma Kick(1),100,0,4,-,Close
Benimaru,EX Super Inazuma Kick(2~3),50,0,-,36,
Benimaru,EX Benimaru Collider,100,0,1,-,30 frames on entire motion for whiff
Benimaru,EX Benimaru Lancer,150,0,33,-3,
Benimaru,Raikouken(1),35,0,46(17),-,Freeze frames 29
Benimaru,Raikouken(2~4),35,0,-,-,
Benimaru,Raikouken(5),60,0,-,-18,
Benimaru,Rolling Thunder(1),0,0,34(5),-,Freeze frames 29
Benimaru,Rolling Thunder(2~15),13,0,-,-33,
Benimaru,EX Raikouken(1),27,0,34(5),-,Freeze frames 29
Benimaru,EX Raikouken(2-9),27,0,-,-,
Benimaru,EX Raikouken(10),70,0,-,-27,
Benimaru,Raiohken(1),50,0,63(12),-,
Benimaru,Raiohken(2~12),50,0,-,40,
Benimaru,,,,,,
Benimaru,
