fighter,Move,Damage,Stun,Startup,On Guard,Remarks
Flame Iori,s.A,25,3,4,1,
Flame Iori,d.A,25,3,5,0,
Flame Iori,Far A,25,3,6,4,
Flame Iori,j.A,45,3,6,-,
Flame Iori,hop A,40,3,5,-,
Flame Iori,s.B,30,3,5,2,
Flame Iori,d.B,30,3,4,0,
Flame Iori,Far B,30,3,6,-1,
Flame Iori,j.B,45,3,5,-,
Flame Iori,hop B,40,3,5,-,
Flame Iori,s.C,70,7,3,-2,
Flame Iori,d.C,70,7,6,-4,
Flame Iori,Far C,80,7,8,-4,
Flame Iori,j.C,72,7,9,-,
Flame Iori,hop C,70,7,9,-,
Flame Iori,s.D,80,8,7,-1,
Flame Iori,d.D,80,7,6,-22,
Flame Iori,Far D,80,7,9,-2,
Flame Iori,j.D,70,7,6,-,
Flame Iori,hop D,68,7,6,-,
Flame Iori,st.CD,75,10,11,-5,
Flame Iori,j.CD,90,8,13,-,
Flame Iori,hop CD,80,8,12,-,
Flame Iori,Yumebiki1,40,4,9,-5,
Flame Iori,Yumebiki2,60,6,-,-7,
Flame Iori,Gofu In,70,6,24,-3,
Flame Iori,Gofu In,70,4,24,-3,
Flame Iori,Yuri Ori,55,4,5,-,
Flame Iori,Sakahagi,100,0,1,-,Throw
Flame Iori,GCCD,4,0,13,-15,"Startup vs Wk 13, St 17, J Atk 17"
Flame Iori,A Yamibarai,65,4,16,-3,Close
Flame Iori,C Yamibarai,70,4,13,-11,Close
Flame Iori,A Oniyaki1,70,6,6,-23,
Flame Iori,A Oniyaki(forefront),35,3,-,-,
Flame Iori,C Oniyaki1,50,4,6,-,
Flame Iori,C Oniyaki2,50,4,-,-,
Flame Iori,C Oniyaki3,25,3,-,36,Whiff 38
Flame Iori,Aoibana1,30,2,"9,15","-9,-12","A,C"
Flame Iori,Aoibana2,45,2,-,"-10,-13","A,C"
Flame Iori,A Aoibana3,70,6,-,-11,
Flame Iori,C Aoibana3,90,6,-,-18,
Flame Iori,Kototsuki In1,30,0,20,-,Close
Flame Iori,Kototsuki In2,5,0,-,-19,
Flame Iori,Kototsuki In3,125,0,-,-,
Flame Iori,Kuzukaze,0,0,13,-,"As 1 hit, +12, Whiff 46"
Flame Iori,EX Yamibarai1,50,0,22,-2,Close
Flame Iori,EX Yamibarai2-7,4,0,-,-,
Flame Iori,EX Oniyaki1,30,0,4,-,
Flame Iori,"EX Oniyaki2,4,6",40,0,-,-,
Flame Iori,"EX Oniyaki3,5",30,0,-,-,
Flame Iori,EX Oniyaki?7,50,0,-,-39,
Flame Iori,EX Aoibana1,50,0,13,-4,
Flame Iori,EX Aoibana2,70,0,-,-13,
Flame Iori,EX Aoibana3,80,0,-,-18,
Flame Iori,EX Kototsuki In1,4,0,8,-18,
Flame Iori,EX Kototsuki In2,130,0,-,-,
Flame Iori,EX Kuzukaze,0,0,13,-,"As 1 hit, +15, Whiff 50"
Flame Iori,Yaotome1,0,0,38(10),-12,"Close, Freeze 29"
Flame Iori,Yaotome2-3,10,0,-,-,
Flame Iori,Yaotome4-7,16,0,-,-,
Flame Iori,Yaotome8,20,0,-,-,
Flame Iori,Yaotome9,100,0,-,-,
Flame Iori,?Saiki1,0,0,-,-,
Flame Iori,?Saiki2-6,10,0,-,-,
Flame Iori,?Saiki7,40,0,-,-,
Flame Iori,Yamisogi1,60,0,"34(5),40(11)",-,Freeze 29
Flame Iori,Yamisogi2,60,0,-,-6,"A,C"
Flame Iori,Yamisogi3,100,0,-,-,
Flame Iori,EX Yaotome1,0,0,32(3?,-12,"Close, Freeze 29"
Flame Iori,"EX Yaotome2,3",20,0,-,-,
Flame Iori,EX Yaotome4-7,40,0,-,-,
Flame Iori,EX Yaotome8,20,0,-,-,
Flame Iori,EX Yaotome9-12,10,0,-,-,
Flame Iori,EX Yaotome13,50,0,-,-,
Flame Iori,Homurahotogi,480,0,68(18),-,"Freeze 50, Whiff all frames 109(59)"
Flame Iori,,,,,,
Flame Iori,
