fighter,Move,Damage,Stun,Startup,On Guard,Remarks
Claw Iori,s.A,25,3,4,1,
Claw Iori,d.A,25,3,5,0,
Claw Iori,Far A,25,3,6,3,
Claw Iori,j.A,45,3,6,-,
Claw Iori,hop A,40,3,6,-,
Claw Iori,s.B,30,3,5,1,
Claw Iori,d.B,30,3,4,0,
Claw Iori,Far B,30,3,6,-1,
Claw Iori,j.B,45,3,5,-,
Claw Iori,hop B,40,3,5,-,
Claw Iori,s.C,70,7,3,-2,
Claw Iori,d.C,70,7,6,-4,
Claw Iori,Far C,80,7,9,-3,
Claw Iori,j.C,72,7,9,-,
Claw Iori,hop C,70,7,9,-,
Claw Iori,s.D,80,8,7,-1,
Claw Iori,d.D,80,7,6,-22,
Claw Iori,Far D,80,7,9,-2,
Claw Iori,j.D,70,7,6,-,
Claw Iori,hop D,68,7,6,-,
Claw Iori,st.CD,75,10,15,-1,Hit with the tip for +4 on guard
Claw Iori,j.CD,90,8,13,-,
Claw Iori,hop CD,80,8,12,-,
Claw Iori,Yumebiki(1),30,4,9,-5,
Claw Iori,Yumebiki(1),45,6,-,-7,
Claw Iori,Kui(cancel),70,4,18,-2,
Claw Iori,Kui,70,6,21,-2,
Claw Iori,Yuriori,55,4,5,-,"-18 on guard,+20 on hit"
Claw Iori,Sakahagi,100,0,1,-,
Claw Iori,GCCD,4,0,13,-15,
Claw Iori,A Nueuchi,60,6,4,-21,
Claw Iori,C Nueuchi,75,6,14,-9,
Claw Iori,A Shogetsu(1),25,3,11,-,
Claw Iori,A Shogetsu(2),40,3,-,-8,
Claw Iori,"C Shogetsu(2),(2)",40,4,18,-2,
Claw Iori,Akegarasu,60,6,"17,21","-4,-2",
Claw Iori,Tsuchitsubaki,50,0,9,-,Whiff 38
Claw Iori,EX Nueuchi(1),65,0,4,-,
Claw Iori,EX?Nueuchi(2),65,0,-,-17,
Claw Iori,EX Shogetsu(1),70,0,18,-,
Claw Iori,EX Shogetsu(2),70,0,-,0,
Claw Iori,EX Akegarasu(1),70,-,18,-,
Claw Iori,EX Akegarasu(2),70,0,-,0,
Claw Iori,EX Tsuchitsubaki,50,0,5,-,
Claw Iori,Maiden Masher(1),0,0,35(6),-,Freeze 29
Claw Iori,Maiden Masher(2~3),8,0,-,-,
Claw Iori,Maiden Masher(4-8),12,0,-,-,
Claw Iori,Maiden Masher(9),120,0,-,-12,
Claw Iori,EXMaiden Masher(1),0,0,33(4),-,Freeze 29
Claw Iori,EXMaiden Masher(2~4),10,0,-,-,
Claw Iori,EX Maiden Masher(5-12),16,0,-,-,
Claw Iori,EX Maiden Masher(13),150,0,-,-17,
Claw Iori,Yatagarasu(1),80,0,57(6),-,Freeze 51
Claw Iori,Yatagarasu(2),0,0,-,-,
Claw Iori,Yatagarasu(3~7),80,0,-,-39,
Claw Iori,,,,,,
Claw Iori,
