Fighter,Move,Damage,Stun,Startup,On Guard,Comments
King,cl. A,25,3,5,1,
King,cr. A,25,3,5,3,
King,far A,25,3,5,1,
King,j.A,45,3,6,-,
King,hop A,40,3,6, -,
King,st. B,30,3,4,-1,Hit low
King,cr. B,30,3,5,1,
King,far B,30,3,4,-1,
King,j.B,45,3,5,-,
King,hop B,40,3,5,  -,
King,cl.C,70,7,6,-2,
King,cr. C,70,7,5,-7,
King,far.C,80,7,4,-5,
King,j.C,72,7,7,-,
King,hop C,70,7,7, -,
King,cl.D (1),40,8,5,-,
King,cl.D (2),45,4,-,-6,
King,cr. D,80,7,9,-10,
King,far D,80,7,8,-5,
King,j.D,70,7,6,-,
King,hop D,68,7,6,  -,
King,st CD,75,10,13,0,
King,jump CD,90,8,13,-,
King,hop CD,80,8,12,  -,
King,df. D,65,6,12,-5,+1 max range
King,Throw,100,-,1,-,Hard Knock Down
King,GDCD,4,-,13,-15,
King,B Venom Strike,65,6,12,-4,close
King,D Venom Strike,65,6,9,-9,close
King,B Air Venom Strike,60,6,6,-8,_ +12 near the ground
King,D Air Venom Strike,60,6,7,-10,KD opponent, Pushback King, +12 near the ground
King,B Trap Shot(1) (Dp B),0,0,9,-23,
King,B Trap Shot(2-4),20,0,-,-,
King,B Trap Shot(5),70,0,-,-,
King,D Trap Shot(1) (Dp D),0,0,9,-,
King,D Trap Shot(2-4),20,0,-,-,
King,D Trap Shot(5),70,0,-,-23,
King,B Tornado Kick(1),30,6,13,-,close, -5 when it touch at the last frame
King,B Tornado Kick(2),30,6,-,-6,
King,D Tornado Kick(1),60,8,10,-,
King,D Tornado Kick(2),60,8,-,-9,
King,EX Venom Strike(1),70,0,10,-,Close
King,EX Venom Strike(2),70,0,-,6,KD the opponent /Very Fast Projectile
King,EX Air Venom Strike,120,0,6,5,KD the opponent / Very Fast Projectile, +15 near the ground
King,EX Trap Shot(1),0,0,5,-30,
King,EX Trap Shot(2-7),20,0,-,-,
King,EX Trap Shot(8),60,0,-,-,
King,EX Tornado Kick(1),55,0,10,-,Close
King,EX Tornado Kick(2-3),55,0,-,-15,
King,B Double Strike(1) (2X QCF + B/D),105,0,37(7),-,30f freeze
King,B Double Strike(2),105,0,-,-11,
King,D Double Strike(1),105,0,37(7),-,30f freeze
King,D Double Strike(2),105,0,-,-12,
King,Surprise Rose(1-2) 2X (QCF + A/C),10,0,33(4),-,30f freeze
King,Surprise Rose(3-14),12,0,-,-,
King,Surprise Rose(15),48,0,-,-15,
King,EX Surprise Rose(1-2),10,0,32(3),-,30f freeze
King,EX Surprise Rose(3-6),10,0,-,-,
King,EX Surprise Rose(7),30,0,-,-,
King,EX Surprise Rose(8-10),10,0,-,-,
King,EX Surprise Rose(11),30,0,-,-,
King,EX Surprise Rose(12-14),10,0,-,-,
King,EX Surprise Rose(16-18),10,0,-,-,
King,EX Surprise Rose(19),100,0,-,-23,Always does 100 damages
King,Venom Shot (1-15),30,0,46(0),-39,46f freeze, 15 max hits
King,Air Venom Shot (1-15),30,0,46(0),-42,46f freeze, 15 max hits
