Fighter,Move,Damage,Stun,Startup,On Guard,Comments
K,cl.A,25,3,4,2,
K,cr.A,25,3,4,1,
K,st.A,25,3,4,2,
K,j.A,45,3,8,-,
K,hop A,40,3,8,-,
K,cl.B,30,3,5,1,
K,cr.B,30,3,4,1,
K,st.B,30,3,5,1,
K,j.B,45,3,4,-,
K,hop B,40,3,5,-,
K,cl.C (1),40,6,5,-,
K,cl.C (2),30,4,-,-8,
K,cr.C,70,7,6,-11,
K,st.C (Far),70,7,10,-9,
K,j.C,72,7,9,-,
K,hop C,70,7,8,-,
K,cl.D,70,7,7,-6,
K,cr.D,80,7,8,-10,
K,st.D (Far),80,7,9,-8,
K,j.D,70,7,10,-,
K,hop D,68,7,9,-,
K,CD,75,10,14,-6,
K,JCD,90,8,10,-,
K,hop CD,80,8,10,-,
K,One-Inch(Combo'd),60,4,15,-6,
K,One Inch,75,12,22,-2,
K,Spot Pile,100,0,1,-,Hard Knockdown
K,GCCD,70,7,7,-6,"weak attack 13, strong attack17, jump attack 17Frame startup?"
K,A Ein Trigger,50,4,9,-5,On guarding last attack frame of Ein Trigger +6
K,C Ein Trigger,50,4,9,-5,
K,=> Second Shoot,40,6,-,"-3,-4","Close, A Second Shoot -3"
K,=> Second Shell,40,3,-,-6,
K,A Crow Bites (1),50,4,4,-,
K,A Crow Bites (2),50,4,-,-28,
K,C Crow Bites (1),50,4,8,-,
K,C Crow Bites (2),30,4,-,-,
K,C Crow Bites (3),20,4,-,-,
K,C Crow Bites (4),40,4,-,-66,
K,B Minute Spike,70,4,15,-20,
K,D Minute Spike,70,4,15,-26,
K,=> Narrow Spike,60,4,11,-10,On guard of tip -5
K,Air Minute Spike,50,4,"12,14","-18,-22","At lowest height possible, ground recovery 23"
K,EX Ein Trigger,60,0,8,11,
K,EX Second Shell 1.2,50,0,-,6,Close
K,EX Second Shoot 1.2,25,0,-,4,
K,EX Crow Bites (1),20,0,-,-,
K,EX Crow Bites (2-8),20,0,-,-,
K,EX Crow Bites (9-10),40,0,-,-,
K,EX Crow Bites (11),80,0,-,-,
K,EX Minute Spike,110,0,16,-16,
K,EX Narrow Spike,130,0,9,-3,
K,EX Air Minute Spike,70,0,10,-8,
K,Heat Drive,200,0,44(15),-39,Freeze 39
K,Chain Drive (1),25,0,41(12),-40,Freeze 29
K,Chain Drive (1),0,0,-,-,
K,Chain Drive (3-5),10,0,-,-,
K,Chain Drive (6-11),15,0,-,-,
K,Chain Drive (12),70,0,-,-,
K,EX Chain Drive (1),10,0,41(12),-36,Freeze 29
K,EX Chain Drive (2),0,0,-,-,
K,EX Chain Drive (3-5),10,0,-,-,
K,EX Chain Drive (6-11),12,0,-,-,
K,EX Chain Drive (12-14),10,0,-,-,
K,EX Chain Drive (15-20),12,0,-,-,
K,EX Chain Drive (21),12,0,-,-,
K,EX Chain Drive (22),20,0,-,-,
K,EX Chain Drive (23),50,0,-,-,
K,Hyper Chain Drive (1),20,0,63(8),-,Freeze 55
K,Hyper Chain Drive (2-23),20,0,-,-,
K,Hyper Chain Drive (24-44),0,0,-,-,
K,Hyper Chain Drive (45),20,0,-,-,
K,,,,,,
K,
