Fighter,Move,Damage,Stun,Startup,On Guard,Comments
Kula,cl.A(1),25,5,6,-2,
Kula,cl.A(2),20,2,-,0,
Kula,cl.A(3),20,1,-,2,
Kula,cr.A,25,5,5,-5,
Kula,st.A,25,5,6,-2,
Kula,j.A,45,3,7,-,
Kula,hop A,40,3,7,-,
Kula,cl.B,30,3,4,-2,
Kula,cr.B,30,3,4,0,
Kula,st.B,30,3,4,-2,
Kula,j.B,45,3,7,-,
Kula,hop.B,40,3,5,-,
Kula,cl.C(1),55,8,4,-,
Kula,cl.C(2),25,4,-,-10,
Kula,cr.C,70,7,5,-17,
Kula,st.C,70,7,14,-18,
Kula,j.C,72,7,13,-,
Kula,hop.C,70,7,13,-,
Kula,cl.D(1),55,8,7,-,
Kula,cl.D(2),25,4,-,-9,
Kula,cr.D,80,7,8,-13,
Kula,st.D,80,7,10,-12,
Kula,j.D,70,7,6,-,
Kula,hop.D,68,7,6,-,
Kula,st.CD,75,10,18,4,
Kula,j.CD,90,8,16,-,
Kula,hop.CD,80,8,16,-,
Kula,One Inch(chained),50,4,15,-7,
Kula,One Inch,70,10,22,-3,
Kula,Slider Shoot,80,7,8,-13,If the slide hits on the 21st frame(max range) the slide is -2 on block
Kula,Ice Coffin,101,0,1,-,Hardknock down
Kula,GC CD,4,0,13,-15,"Start up on light attacks:13F, on heavy and jump ins attacks: 17F"
Kula,A Diamond Breath,60,6,19,0,+7 on block if done meaty
Kula,C Diamond Breath,70,8,33,3,+11 on block if done meaty
Kula,EX Diamond Breath,120,0,16,7,
Kula,A Crow Bites,70,4,6,-31,
Kula,C Crow Bites (1),70,6,4,-,
Kula,C Crow Bites (2),60,4,-,-48,
Kula,EX Crow Bites (1),100,0,3,-,
Kula,EX Crow Bites (2),60,0,-,-,
Kula,EX Crow Bites (3),40,0,-,-48,
Kula,B Ray Spin,30,4,15,-7,
Kula,D Ray Spin (1),30,4,17,-,
Kula,D Ray Spin (2),30,6,15,-3,-1 if blocked while crouching
Kula,?Stand (1),20,4,10,-,
Kula,?Stand (2),30,4,-,-1,
Kula,?Sit,30,4,7,-14,
Kula,EX Ray Spin (1),60,0,12,-,
Kula,EX Ray Spin (2),60,0,-,1,
Kula,?EX Stand (1),45,0,7,-,
Kula,?EX Stand (2),80,0,-,-1,
Kula,?EX Sit,50,0,6,-8,
Kula,Counter Shell (Slap),45,10,5,-11,
Kula,Counter Shell (Projectile),80,12,-,-,
Kula,EX Counter Shell (Slap),80,0,3,-7,
Kula,EX Counter Shell (Projectile) (1),50,0,-,-,
Kula,"EX Counter Shell (Projectile) (2,3)",50,0,-,-,
Kula,Diamond Edge,210,0,45(16),-24,29 super freeze frames
Kula,EX Diamond Edge (1),80,0,36(7),-,29 super freeze frames
Kula,EX Diamond Edge (2-4),80,0,-,-37,
Kula,Freeze Execution (1),100,0,40(11),-,29 super freeze frames
Kula,Freeze Execution (2-13),15,0,-,-62,
Kula,Neo Freeze Execution (1),100,0,35(6),-48,29 super freeze frames
Kula,"Neo Freeze Execution (2,3)",70,0,-,-,
Kula,Neo Freeze Execution (4-15),15,0,-,-,
Kula,,,,,,
Kula,
