Fighter,Move,Damage,Stun,Startup,On Guard,Comments
Mr.Karate,cl.A,25,3,4,2,Hit crouching opponents
Mr.Karate,cr.A,25,6,3,2,Karate's fastest normal
Mr.Karate,st.A,25,3,4,2,
Mr.Karate,j.A,45,3,5,-,
Mr.Karate,hop A,40,3,5,-,
Mr.Karate,st.B,30,6,4,1,
Mr.Karate,cr.B,30,3,4,0,
Mr.Karate,j.B,45,3,4,-,
Mr.Karate,hop B,40,3,4,-,
Mr.Karate,cl.C,70,7,3,-1,Startup Faster than Takuma
Mr.Karate,cr.C,70,7,4,-13,
Mr.Karate,st.C,80,7,7,-2,Startup Faster than Takuma
Mr.Karate,j.C,72,7,7,-,
Mr.Karate,hop C,70,7,7,-,
Mr.Karate,cl.D,80,7,10,1,
Mr.Karate,cr.D,80,7,7,-5,
Mr.Karate,st.D,80,7,10,1,
Mr.Karate,j.D,70,7,7,-,
Mr.Karate,hop D,68,7,7,-,
Mr.Karate,st.CD,75,10,13,1,Startup Faster than Takuma
Mr.Karate,j.CD,90,8,11,-,
Mr.Karate,hop CD,80,8,11,-,
Mr.Karate,Sokutou-geri,50,6,18,-7,
Mr.Karate,Seiken Sandan Tsuki(1),35,2,8,-,
Mr.Karate,Seiken Sandan Tsuki(2),25,2,-,-,
Mr.Karate,Seiken Sandan Tsuki(3),30,2,-,-4,
Mr.Karate,Ippon Seoi,100,0,1,-,Hard knockdown
Mr.Karate,GCCD,4,0,13,-15,"vs. Wk 13, St 17, Jump atk 17 on startup"
Mr.Karate,A Koho,60,6,4,-25,Karate's fastest startup for specials
Mr.Karate,C Koho(1),60,6,6,-,
Mr.Karate,C Koho(2),40,6,-,-37,Breaking -14
Mr.Karate,Shorankyaku(1-6),15,0,21,-,Close
Mr.Karate,Shorankyaku(7),80,0,-,-,
Mr.Karate,Zanretsuklen(1-6),10,0,12,-,First hit Scaled - lock move
Mr.Karate,Zanretsuklen(7-12),0,0,-,-,
Mr.Karate,Zanretsuklen(13),20,0,-,-38,
Mr.Karate,B Hienshippu Kyaku,60,4,9,-11,"Close, Lowest point in air -4, Landing recovery 12"
Mr.Karate,D Hienshippu Kyaku(1),50,4,13,-,Landing recovery 20F
Mr.Karate,D Hienshippu Kyaku(2),40,4,-,-4,Lowest point in air
Mr.Karate,A Kouou-ken,60,6,10,-3,Quite safe bc of hitback
Mr.Karate,C Kouou-ken,60,6,16,-10,
Mr.Karate,?Step,0,0,-,-8,
Mr.Karate,Hakyokujin,0,0,-,-,"Whiff 41, Teleport 26, Parry 6-30 (longer parry time than Chin/Elisabeth)"
Mr.Karate,EX Kouhu(1),90,0,5,-,
Mr.Karate,EX Kouhu(2),75,0,-,-40,
Mr.Karate,EX Shorankyaku(1),15,0,25,-,
Mr.Karate,EX Shorankyaku(2-10),15,0,-,-,
Mr.Karate,EX Shorankyaku(11),150,0,-,-,
Mr.Karate,EX Zanretsuken(1),0,0,9,-43,
Mr.Karate,EX Zanretsuken(2-11),10,0,-,-,
Mr.Karate,EX Zanretsuken(12-21),0,0,-,-,
Mr.Karate,EX Zanretsuken(22),50,0,-,-,
Mr.Karate,EX Hienshippu Kyaku(1),60,0,9,-,Close
Mr.Karate,EX Hienshippu Kyaku(2),70,0,-,-15,Lowest point in air -4
Mr.Karate,EX Hakyokujin (vs Strike),60,0,9,-,"Whiff 41, Teleport 26, Parry 6-30"
Mr.Karate,EX Hakyokujin (vs Air atk),180,0,16,-,
Mr.Karate,EX Kouou-ken,100,0,36,-,0 after guard crush
Mr.Karate,Haoh Shikouken,210,0,47 (18),-38,"Freeze 29, Close"
Mr.Karate,Ryuuko Ranbu(1),0,0,"35 (6), 46 (17)",-19,"Freeze 29 (weak,strong)"
Mr.Karate,"Ryuuko Ranbu(2,5,7)",10,0,-,-,
Mr.Karate,"Ryuuko Ranbu(3,4,6,8)",16,0,-,-,
Mr.Karate,Ryuuko Ranbu(9),40,0,-,-,
Mr.Karate,Ryuuko Ranbu(10),100,0,-,-,
Mr.Karate,Kyokugen Koho(1),60,0,37(8),-,Freeze 29
Mr.Karate,Kyokugen Koho(2),60,0,-,-,
Mr.Karate,Kyokugen Koho(3-11),10,0,-,-40,
Mr.Karate,EX Ryuuko Ranbu(1),0,0,34(5),-24,Freeze 29
Mr.Karate,"EX Ryuuko Ranbu(2,5,7)",10,0,-,-,
Mr.Karate,"EX Ryuuko Ranbu(3,4,6,8,9)",16,0,-,-,
Mr.Karate,EX Ryuuko Ranbu(10),20,0,-,-,
Mr.Karate,EX Ryuuko Ranbu(11-19),0,0,-,-,
Mr.Karate,EX Ryuuko Ranbu(21-27),4,0,-,-,
Mr.Karate,EX Ryuuko Ranbu(28),25,0,-,-,
Mr.Karate,"EX Ryuuko Ranbu(29,30)",60,0,-,-,
Mr.Karate,EX Ryuuko Ranbu(31),60,0,-,-,
Mr.Karate,Kishin Sanga Geki(1),100,0,81(5),-,Freeze 76
Mr.Karate,Kishin Sanga Geki(2),370,0,-,-18,
Mr.Karate,,,,,,
Mr.Karate,
