Fighter,Move,Damage,Stun,Startup,On Guard,Comments
Ralf,cl.A,25,3,5,3,
Ralf,cr.A,25,3,4,0,
Ralf,far A,25,3,5,3,
Ralf,j.A,45,3,6,-,
Ralf,hop A,40,3,6,-,
Ralf,cl.B,30,3,5,2,
Ralf,cr.B,30,3,4,3,
Ralf,B Far,30,3,5,2,
Ralf,JB,45,3,4,-,
Ralf,hop B,40,3,4,-,
Ralf,cl.C(1),40,8,4,-,
Ralf,cl.C(2),40,4,-,-2,
Ralf,cr.C,70,7,7,-2,
Ralf,C (Far),80,7,9,-4,
Ralf,j.C,72,7,8,-,
Ralf,hop C,70,7,8,-,
Ralf,cl.D,40,8,7,-3,
Ralf,cr.C,80,7,6,-1,
Ralf,D (Far),80,7,9,-4,
Ralf,j.D,70,7,7,-,
Ralf,hop D,68,7,7,-,
Ralf,st.CD,75,10,15,3,
Ralf,j.CD,90,8,12,-,
Ralf,hop CD,80,8,11,-,
Ralf,Jet Upper (df + A),65,8,7,-8,
Ralf,Dynamite Head Butt (Throw),100,0,1,-,
Ralf,GCCD,4,0,13,-15,13F startup on Weak attacks, 17F on normals and jumping attacks
Ralf,A Burning Hammer,60,8,11,-7,
Ralf,C Burning Hammer,50,8,18,2,+10 F when hit
Ralf,A Dynamite Ralf Punch,65,8,10,-4,
Ralf,C Dynamite Ralf Punch,80,8,21,-4,
Ralf,Vulcan Punch,60,3,7,-23,-2 when close
Ralf,A Dive Bomber Punch,120,8,15,-23,1F rigid landing operation from the first jump 4F
Ralf,C Dive Bomber Punch,120,8,24,-21,1F rigid landing operation from the first jump 4F
Ralf,A Gatling Attack(1),40,4,7,-,
Ralf,A Gatling Attack(2),35,6,-,-10,
Ralf,C Gatling Attack(1),40,4,10,-,
Ralf,C Gatling Attack(2-3),30,2,-,-16,
Ralf,EX Burning Hammer (qcf+AC),100,0,19,-4,
Ralf,EX Dynamite Ralf Punch(1),60,0,12,-,
Ralf,EX Dynamite Ralf Punch(2),60,0,-,-,
Ralf,EX Dynamite Ralf Punch(3),80,0,-,5,
Ralf,EX Vulcan Punch(1),70,0,5,-,
Ralf,EX Vulcan Punch(2-4),70,0,-,-,
Ralf,EX Dive Bomber Punch,180,0,25,-34,
Ralf,EX Gatling Attack(1),30,0,7,-,
Ralf,EX Gatling Attack(2),30,0,-,-,
Ralf,EX Gatling Attack(3-6),20,0,-,-,
Ralf,EX Gatling Attack(7),100,0,-,-17,
Ralf,Galactica Phantom,180,0,45 (16),-33,Stop 29 hours, 30 shavings
Ralf,Galactica Phantom 1,220,0,43 (14-58),-33,36 sharpener
Ralf,Galactica Phantom 2,260,0,59 (30-129),-33,43 sharpener
Ralf,Galactica Phantom 3,320,0,130 (101),-,Unblockable
Ralf, Bareback Vulcan Punch(1),15,0,38 (9),-41,Stop time 29
Ralf,Bareback Vulcan Punch(2-9),15,0,-,-,
Ralf,Bareback Vulcan Punch(10),100,0,-,-,
Ralf,EX Galactica Phantom,300,0,38(9),-33,Stop 29 hours, 50 shavings
Ralf,EX Galactica Phantom 1,340,0,35(6)-53(24),-33,56 sharpener
Ralf,EX Galactica Phantom 2,380,0,54(25)-107(78),-33,63 sharpener
Ralf,EX Galactica Phantom 3,500,0,108(79),-,Unblockable
Ralf,JET Vulcan Punch (1),10,0,61 (16),-23,Stop time 44
Ralf,JET Vulcan Punch (2-11),10,0,-,-,
Ralf,JET Vulcan Punch (12-22),0,0,-,-,
Ralf,JET Vulcan Punch (23-58),8,0,-,-,
Ralf,JET Vulcan Punch (59-92),0,0,-,-,
Ralf,JET Vulcan Punch (93),8,0,-,-,
Ralf,JET Vulcan Punch (94),80,0,-,-,
