Fighter,Move,Damage,Stun,Startup,On Guard,Comments
Robert,cl. A,25,3,4,1,
Robert,cr. A,25,6,4,1,
Robert,far A,25,3,4,1,
Robert,jump A,45,3,6,-,
Robert,hop A,40,3,6,-,
Robert,cl. B,30,3,6,0,
Robert,cr. B,30,3,4,0,
Robert,far B,30,3,6,0,
Robert,jump B,45,3,5,-,
Robert,hop B,40,3,5,-,
Robert,cl. C,70,7,5,-1,
Robert,cr. C,70,7,5,-11,
Robert,far C,80,7,7,-3,
Robert,jump C,72,7,6,-,
Robert,hop C,70,7,6,-,
Robert,cl. D 1,60,4,5,-,
Robert,cl. D 2,50,2,3,-4,
Robert,cr. D,80,7,8,-10,
Robert,far D,70,7,7,-6,
Robert,jump D,70,7,8,-,
Robert,hop D,68,7,8,-,
Robert,CD,75,10,12,-1,
Robert,jump CD,90,8,10,-,
Robert,hop CD,80,8,9,-,
Robert,Ushirogeri (j. BD),55,6,9,-,
Robert,Upper (alone) (f+A),60,5,9,-10,
Robert,Upper (chained) (f+A),25,5,9,-10,
Robert,Low Kick (f+B),45,12,-4,
Robert,Kubikiri Nage (Throw),100,0,1,-,Hard Knock Down
Robert,GCCD,4,0,13,-15,start with 13F against Weak attacks, with 17F against normals, with 17F by low-hiting jump-in
Robert,A Ryugekiken,65,6,15,-3,On very close range
Robert,C Ryugekiken,65,6,14,-6,On very close range
Robert,A Ryuga,70,6,4,-28,
Robert,C Ryuga(1),40,6,6,-,
Robert,C Ryuga(2),45,4,-,-33,
Robert,B Hienshippu Kyaku,70,6,14,-26,
Robert,D Hienshippu Kyaku(1),60,6,18,-,
Robert,D Hienshippu Kyaku(2),60,6,-,-43,
Robert,Hienryujinkyaku (Air),60,4,16,-2,On lowest possible with backdash 18F startup
Robert,Geneikyaku(1-2),0,0,15,-,
Robert,Geneikyaku(3-15),10,0,-,-,
Robert,Geneikyaku(16),80,0,-,-65,
Robert,Ryuren Geneikyaku(1-3),10,0,7,-,Entire animation
Robert,Ryuren Geneikyaku(4),130,0,-,-,
Robert,EX Ryugekiken(1),60,0,15,-,
Robert,EX Ryugekiken(2),70,0,-,1,On very close range
Robert,EX Ryuga(1),100,0,4,-,
Robert,EX Ryuga(2),70,0,-,-38,
Robert,EX Hishouken,120,0,11,-1,
Robert,EX Hienshippu kyaku(1),70,0,16,-,
Robert,EX Hienshippu kyaku(2),80,0,-,-10,
Robert,EX Hienryujin Kyaku (Air),120,0,11,4,On lowest possible with backdash 13F startup
Robert,EX Geneikyaku(1-?),9,0,9,-,
Robert,EX Geneikyaku(21),155,0,-,-51,
Robert,EX Ryujin Geneikyaku(1),10,0,5,-,Entire animation
Robert,EX Ryujin Geneikyaku(2-6),10,0,-,-,
Robert,EX Ryujin Geneikyaku(7),80,0,-,-,
Robert,Haoh Shokouken,200,0,47 (18),-28,Stop time 29, Very close range
Robert,Ryuuko Ranbu(1),0,0,44 (15),-8,
Robert,Ryuuko Ranbu(2-14),10,0,-,-,
Robert,Ryuuko Ranbu(15),60,0,-,-,No scaling
Robert,EX Ryuuko Ranbu(1-30),220,0,37 (8),-19,Stop time 29
Robert,EX Ryuuko Ranbu(31),100,0,37 (8),No Scaling
Robert,Hienshippu Ryujinkyaku,450,0,49 (4),0,Stop time 45
